time_ps,potential,temperature,pressure,constr._rmsd,box-x,box-z,density
42.000000,-1007725.000000000,310.480255000,48.544331000,0.000004000,9.266902000,12.227981000,1018.377991000
44.000000,-1006920.062500000,311.276764000,-170.756226000,0.000004000,9.262227000,12.230379000,1019.206421000
46.000000,-1007122.125000000,309.168640000,120.903725000,0.000004000,9.260114000,12.233994000,1019.370361000
48.000000,-1007786.812500000,309.061035000,138.178452000,0.000004000,9.255327000,12.224718000,1021.199341000
50.000000,-1007946.625000000,312.123291000,50.911469000,0.000004000,9.253958000,12.225776000,1021.413208000
52.000000,-1007110.812500000,309.687866000,128.071671000,0.000004000,9.245992000,12.234752000,1022.423218000
54.000000,-1009174.062500000,311.010529000,79.538109000,0.000004000,9.255547000,12.237897000,1020.051147000
56.000000,-1006055.000000000,309.515869000,261.713104000,0.000004000,9.253690000,12.237468000,1020.496399000
58.000000,-1007901.250000000,310.072937000,46.792877000,0.000004000,9.244109000,12.242249000,1022.213379000
60.000000,-1006796.125000000,311.522827000,-115.202187000,0.000004000,9.254134000,12.232034000,1020.851624000
62.000000,-1007669.812500000,312.866516000,15.655780000,0.000004000,9.250721000,12.228107000,1021.933167000
64.000000,-1009094.312500000,309.635345000,17.635900000,0.000004000,9.246288000,12.230302000,1022.729675000
66.000000,-1009271.125000000,309.359558000,-25.689285000,0.000004000,9.250147000,12.229155000,1021.972534000
68.000000,-1008809.875000000,309.324677000,54.615978000,0.000004000,9.250867000,12.242330000,1020.713745000
70.000000,-1007248.062500000,308.598724000,-52.687122000,0.000004000,9.251809000,12.240676000,1020.643738000
72.000000,-1007343.500000000,309.164825000,25.997185000,0.000004000,9.261879000,12.236497000,1018.773315000
74.000000,-1007613.937500000,309.808136000,-40.615036000,0.000004000,9.253983000,12.224309000,1021.530029000
76.000000,-1008130.562500000,309.431366000,-26.291254000,0.000004000,9.258601000,12.219142000,1020.942871000
78.000000,-1009963.062500000,309.871979000,-2.475872000,0.000004000,9.254887000,12.219354000,1021.744812000
80.000000,-1010703.437500000,308.615326000,13.322995000,0.000004000,9.249114000,12.239810000,1021.310913000
82.000000,-1009221.375000000,308.986877000,38.371372000,0.000004000,9.252189000,12.250974000,1019.702087000
84.000000,-1009383.125000000,310.042358000,184.613235000,0.000004000,9.246691000,12.254012000,1020.661926000
86.000000,-1007566.687500000,310.093567000,122.082924000,0.000004000,9.245697000,12.237216000,1022.282593000
88.000000,-1008554.562500000,308.669250000,63.186970000,0.000004000,9.242834000,12.233216000,1023.250366000
90.000000,-1009590.937500000,309.954803000,-64.491478000,0.000004000,9.246736000,12.242449000,1021.616028000
92.000000,-1008695.937500000,309.876465000,143.025589000,0.000004000,9.245050000,12.244806000,1021.791809000
94.000000,-1009395.062500000,310.370636000,71.178474000,0.000004000,9.257882000,12.250789000,1018.463745000
96.000000,-1007446.000000000,308.563232000,-11.523392000,0.000004000,9.263082000,12.249579000,1017.421082000
98.000000,-1006711.937500000,310.452271000,-34.335510000,0.000004000,9.267122000,12.240271000,1017.307190000
100.000000,-1006284.687500000,310.760193000,46.850536000,0.000004000,9.269964000,12.250224000,1015.857483000
102.000000,-1005150.312500000,312.497467000,2.357798000,0.000004000,9.267433000,12.248590000,1016.548035000
104.000000,-1005143.125000000,309.241486000,-49.784878000,0.000004000,9.259941000,12.256215000,1017.560181000
106.000000,-1007123.812500000,309.988068000,96.850182000,0.000004000,9.261715000,12.238294000,1018.659851000
108.000000,-1005757.687500000,311.383484000,-29.229826000,0.000004000,9.269070000,12.235903000,1017.242798000
110.000000,-1004185.875000000,311.319855000,29.058327000,0.000004000,9.272044000,12.253796000,1015.105774000
112.000000,-1005433.687500000,309.183929000,32.713451000,0.000004000,9.278078000,12.250575000,1014.052368000
114.000000,-1011918.375000000,310.458405000,9.333252000,0.000004000,9.274767000,12.226368000,1016.785767000
116.000000,-1009720.750000000,310.793335000,110.413239000,0.000004000,9.268154000,12.216227000,1019.082397000
118.000000,-1006654.750000000,309.811340000,-62.181080000,0.000004000,9.271835000,12.211589000,1018.660217000
120.000000,-1010801.062500000,310.531860000,-140.679489000,0.000004000,9.269843000,12.201977000,1019.900818000
122.000000,-1011021.875000000,310.089447000,-130.554733000,0.000004000,9.276441000,12.208345000,1017.919250000
124.000000,-1007399.562500000,310.474243000,12.821340000,0.000004000,9.277129000,12.206079000,1017.957214000
126.000000,-1005344.125000000,310.993469000,-92.648994000,0.000004000,9.282275000,12.205404000,1016.885010000
128.000000,-1006774.187500000,307.636017000,52.361633000,0.000004000,9.278317000,12.208499000,1017.494812000
130.000000,-1006166.187500000,309.190186000,-121.494415000,0.000004000,9.276701000,12.221377000,1016.776794000
132.000000,-1006241.625000000,310.982971000,57.202175000,0.000004000,9.270299000,12.220372000,1018.265320000
134.000000,-1009920.750000000,309.436951000,50.428478000,0.000004000,9.271405000,12.205200000,1019.287903000
136.000000,-1009093.437500000,309.066101000,75.797493000,0.000004000,9.269705000,12.208675000,1019.371643000
138.000000,-1008277.562500000,309.735565000,-19.540888000,0.000004000,9.284142000,12.208967000,1016.179382000
140.000000,-1007160.875000000,312.922180000,-273.595245000,0.000004000,9.278406000,12.201574000,1018.052673000
142.000000,-1007075.812500000,311.067169000,-109.501335000,0.000004000,9.281793000,12.196995000,1017.691956000
144.000000,-1006473.812500000,309.250244000,-162.540024000,0.000004000,9.287182000,12.204714000,1015.868286000
146.000000,-1005971.687500000,309.780151000,19.213175000,0.000004000,9.280037000,12.200519000,1017.783020000
148.000000,-1007438.562500000,311.809570000,124.908760000,0.000004000,9.270599000,12.204947000,1019.486267000
150.000000,-1004946.187500000,310.066589000,-54.654125000,0.000004000,9.267443000,12.200563000,1020.547424000
152.000000,-1005179.562500000,311.683655000,152.706284000,0.000004000,9.271108000,12.211769000,1018.804993000
154.000000,-1006997.062500000,311.411591000,-184.573074000,0.000004000,9.276155000,12.203220000,1018.409363000
156.000000,-1007784.312500000,310.785919000,187.287537000,0.000004000,9.273520000,12.195217000,1019.657227000
158.000000,-1008329.312500000,308.575958000,122.378334000,0.000004000,9.268395000,12.190326000,1021.194580000
160.000000,-1009711.000000000,309.531189000,91.439720000,0.000004000,9.273075000,12.186948000,1020.446838000
162.000000,-1009059.875000000,309.708130000,53.908432000,0.000004000,9.278149000,12.185127000,1019.483398000
